relation	word1	pos1	word2	pos2
antonym	冷漠	VH	熱情	VH
meronym	賽前	Nd	時間	Na
hypernym	官能	Na	能力	Na
antonym	父親	Na	阿媽	Na
co-hyponym	動詞	Na	形容詞	Na
hypernym	貳	Neu	數字	Na
antonym	上臺	VA	下臺	VA
synonym	乃至於	Cbb	連	Cbb
antonym	提高	VA	落	VA
hypernym	苦惱	VH	悲傷	VH
synonym	提起	VE	說到	VE
co-hyponym	槍	Na	刀	Na
hypernym	知	VK	知識	Na
hypernym	接觸	VC	沾	VC
synonym	圍起	VC	圍起來	VB
co-hyponym	官	Na	兵	Na
synonym	不料	Dk	想不到	Dk
hypernym	悽楚	VH	悲傷	VH
hypernym	球	Na	娛樂	Na
hypernym	旱林	Na	林	Na
hypernym	閣下	Nh	人	Na
synonym	說真的	Dk	老實說	Dk
hypernym	鯛	Na	水中生物	Na
hypernym	觸怒	VC	生氣	VH
hypernym	歇	VA	息	VA
hypernym	醫學院	Nc	學校	Nc
antonym	嘉	A	否	VH
antonym	少	VH	老	VH
hypernym	盛怒	VH	生氣	VH
co-hyponym	東	Ncd	南	Ncd
synonym	來自於	VJ	出於	VJ
hypernym	獸	Na	動物	Na
hypernym	帝	Na	王	Na
meronym	歌星	Na	人	Na
synonym	為什麼	D	為何	D
antonym	單薄	VH	厚	VH
hypernym	飾品	Na	服飾	Na
antonym	下臺	VA	上臺	VA
antonym	捷	VH	落敗	VH
co-hyponym	雙魚座	Nb	獅子座	Nb
co-hyponym	下	Ncd	左	Ncd
synonym	多多	VH	好些	Neqa
co-hyponym	狗	Na	豬	Na
meronym	午前	Nd	時間	Na
antonym	到	P	不到	P
hypernym	奶	Na	飲料	Na
hypernym	弟兄	Na	關係	Na
hypernym	陡峭	VH	陡	VH
hypernym	蝴蝶	Na	蟲	Na
hypernym	兄弟	Na	關係	Na
hypernym	棍	Na	棒子	Na
hypernym	東南	Ncd	區域	Na
antonym	持	VC	沒有	VJ
meronym	血管	Na	人	Na
hypernym	容	Na	外貌	Na
hypernym	易經	Nb	作品	Na
hypernym	物質	Na	無生物	Na
hypernym	霜	Na	白	VH
hypernym	砂	Na	固體	Na
hypernym	周	Nd	朝代	Na
hypernym	越戰	Nb	戰爭	Na
hypernym	紅樹林	Na	森林	Na
hypernym	爺	Na	關係	Na
synonym	以致於	Cbb	致	Cbb
antonym	那裡	Ncd	這裏	Ncd
antonym	龍	Na	鳳	Na
hypernym	現況	Na	狀態	Na
antonym	地方	Na	中央	Nc
co-hyponym	天秤座	Nb	天蠍座	Nb
antonym	不能	D	容許	VE
synonym	顯示	VK	顯示出	VK
synonym	譬如說	P	比如	P
antonym	提早	VL	推	VC
hypernym	贊助	VD	幫	VC
hypernym	物理	Na	性質	Na
hypernym	叉子	Na	器具	Na
hypernym	心酸	VH	悲傷	VH
hypernym	帽	Na	服飾	Na
antonym	不能	D	能	VL
hypernym	梁	Na	橋	Na
synonym	譬如說	P	例如說	P
hypernym	梅樹	Na	樹	Na
antonym	婆	Na	爺爺	Na
hypernym	白	Na	顏色	Na
antonym	捷	VH	輸	VD
antonym	外面	Ncd	裡面	Ncd
hypernym	法	Nc	國家	Na
synonym	變為	VG	轉變成	VG
synonym	大多數	Neqa	大部分	Neqa
hypernym	研究	Na	活動	Na
synonym	點兒	Neqa	一點點	Neqa
hypernym	河南	Nc	省	Nc
antonym	利益	Na	害	Na
hypernym	哀思	Na	悲傷	VH
antonym	開	VC	關門	VA
antonym	不及	VH	來得及	D
hypernym	珊瑚	Na	水中生物	Na
hypernym	滾	VC	帶	VC
hypernym	目前	Nd	時間	Na
synonym	來自於	VJ	源於	VJ
synonym	致	Cbb	以至於	Cbb
hypernym	茶	Na	植物	Na
synonym	轉變成	VG	轉變為	VG
hypernym	加油	VB	勉	VC
co-hyponym	雙魚座	Nb	金牛座	Nb
co-hyponym	天蠍座	Nb	雙子座	Nb
co-hyponym	宋	Nd	秦	Nd
meronym	初	Ng	時間	Na
hypernym	哀傷	VH	悲傷	VH
antonym	之后	Nd	前面	Ncd
synonym	臺南	Nc	台南	Na
hypernym	聽任	VL	任由	VL
hypernym	地球	Na	天體	Na
synonym	引得	VL	引起	VC
meronym	下屬	Na	組織	Na
hypernym	名將	Na	將軍	Na
hypernym	逢甲	Nb	組織	Na
hypernym	寒帶	Nc	區域	Na
hypernym	朝代	Na	時代	Na
synonym	除此之外	Dk	之餘	Ng
co-hyponym	天秤座	Nb	牡羊座	Nb
hypernym	少爺	Na	人	Na
antonym	開口	VA	閉	VC
antonym	高	VH	矮	VH
antonym	正式	VH	非正式	VH
antonym	後來	Nd	前	Nd
hypernym	大陸人	Na	人類	Na
meronym	開始	Ng	時間	Na
hypernym	寸	Nf	單位	Na
antonym	單單	Da	不祇	Da
hypernym	長榮	Nb	組織	Na
hypernym	巴西	Nc	國家	Na
hypernym	蔣	Nb	名稱	Na
hypernym	氣體	Na	物質	Na
co-hyponym	咸	Nb	豐	VH
hypernym	節	Nf	單位	Na
hypernym	歇	VA	休	VC
synonym	嘴脣	Na	嘴唇	Na
meronym	期末	Nd	時間	Na
hypernym	確保	VE	保	VE
hypernym	湯匙	Na	器具	Na
hypernym	協助	VC	幫	VC
co-hyponym	龍	Na	兔	Na
synonym	石化燃料	Na	化石燃料	Na
hypernym	宅	Na	屋子	Na
hypernym	領取	VC	拿	VC
co-hyponym	晚間	Nd	晨間	Nd
synonym	不光	Cbb	不單單	Cbb
antonym	升	VA	降低	VA
synonym	研究所	Nc	研究院	Nc
hypernym	禮拜	VA	朝拜	VB
antonym	提早	VL	延	VC
synonym	急忙	D	急急忙忙	D
hypernym	好兄弟	Na	關係	Na
hypernym	湖	Na	水域	Na
antonym	以下	Ng	以上	Ng
hypernym	音	Na	聲音	Na
hypernym	簡稱	VG	稱呼	VG
hypernym	梅	Nb	名稱	Na
antonym	啟	VC	關	VC
hypernym	權	Nb	名稱	Na
hypernym	西北	Ncd	區域	Na
synonym	發出	VC	釋放	VC
hypernym	魯	Nc	名稱	Na
antonym	久	VH	暫	VH
co-hyponym	午	Nd	晚	Nd
synonym	一塊兒	D	一同	D
hypernym	房屋	Na	建築物	Na
hypernym	紐約	Nc	行政區	Na
hypernym	苦澀	VH	悲傷	VH
hypernym	冊	Na	單位	Na
hypernym	宅	Na	房舍	Na
co-hyponym	書	Na	棋	Na
hypernym	加油	VB	勵	VC
antonym	老	VH	嫩	VH
hypernym	東西	Na	評價	VA
co-hyponym	商	Nd	唐	Nd
co-hyponym	哥哥	Na	妹妹	Na
synonym	捨不得	VL	不捨	VH
hypernym	人類	Na	動物	Na
hypernym	肇始	VI	啟	VC
hypernym	女孩	Na	人類	Na
hypernym	黃	Na	顏色	Na
hypernym	東方	Ncd	方向	Na
synonym	轉化為	VG	轉成	VG
hypernym	氣憤	VH	生氣	VH
antonym	升	VA	降	VA
hypernym	焉能	VL	哪	Ncd
antonym	晉級	VJ	下降	VA
hypernym	棍子	Na	棒子	Na
hypernym	總決賽	Na	決賽	Na
antonym	提高	VA	下降	VA
hypernym	季	Na	時間	Na
antonym	不要	D	要	D
co-hyponym	清	Nd	明	Nd
co-hyponym	頌	Na	風	Na
hypernym	畝	Nf	單位	Na
antonym	輕聲	D	高聲	D
hypernym	階級	Na	制度	Na
antonym	之上	Ng	之下	Ng
synonym	以致	Cbb	以致於	Cbb
meronym	貸	VD	財務	Na
antonym	忙	VH	閒	VH
hypernym	附贈	VD	賦	VD
synonym	例如說	P	例如	P
hypernym	鞠躬	VB	拜	VC
antonym	打開	VC	閉	VC
antonym	柴	VH	好	VH
antonym	上山	VA	下山	VA
antonym	優	VH	否	VH
antonym	內部	Ncd	外面	Ncd
antonym	以前	Ng	以后	Ng
synonym	效力	VB	效	VC
antonym	輕	VH	厚	VJ
hypernym	車	Na	交通工具	Na
hypernym	課堂	Na	活動	Na
hypernym	杜鵑	Na	鳥	Na
hypernym	水果	Na	食物	Na
antonym	父	Na	媽媽	Na
antonym	之外	Ng	內	Ncd
synonym	拿出來	VC	拿	VC
hypernym	布	Na	素材	Na
hypernym	凍原	Na	區域	Na
hypernym	線	Nf	單位	Na
hypernym	獎品	Na	獎	Na
antonym	媽媽	Na	父	Na
synonym	有時候	D	有時	D
synonym	盡可能	D	儘量	D
antonym	好	VH	壞	VH
hypernym	數量	Na	物理	Na
synonym	變成	VG	轉變為	VG
antonym	這裏	Ncd	那裏	Ncd
antonym	惡	VH	好	VH
co-hyponym	點	Na	橫	VH
hypernym	憂憤	VH	悲傷	VH
