relation	word1	word2
antonym	冷漠	熱情
meronym	賽前	時間
hyponym	官能	能力
antonym	父親	阿媽
nearsynonym	動詞	形容詞
hyponym	貳	數字
antonym	上臺	下臺
synonym	乃至於	連
antonym	提高	落
hyponym	苦惱	悲傷
synonym	提起	說到
nearsynonym	槍	刀
hypernym	知	知識
hyponym	接觸	沾
synonym	圍起	圍起來
nearsynonym	官	兵
synonym	不料	想不到
hypernym	悽楚	悲傷
hypernym	球	娛樂
hypernym	旱林	林
hyponym	閣下	人
synonym	說真的	老實說
hyponym	鯛	水中生物
hyponym	觸怒	生氣
hypernym	歇	息
hypernym	醫學院	學校
antonym	嘉	否
antonym	少	老
hyponym	盛怒	生氣
nearsynonym	東	南
synonym	來自於	出於
hyponym	獸	動物
hypernym	帝	王
meronym	歌星	人
synonym	為什麼	為何
antonym	單薄	厚
hypernym	飾品	服飾
antonym	下臺	上臺
antonym	捷	落敗
nearsynonym	雙魚座	獅子座
nearsynonym	下	左
synonym	多多	好些
nearsynonym	狗	豬
meronym	午前	時間
antonym	到	不到
hypernym	奶	飲料
hypernym	弟兄	關係
hyponym	陡峭	陡
hypernym	蝴蝶	蟲
hypernym	兄弟	關係
hypernym	棍	棒子
hyponym	東南	區域
antonym	持	沒有
holonym	血管	人
hyponym	容	外貌
hyponym	易經	作品
hyponym	物質	無生物
hypernym	霜	白
hyponym	砂	固體
hyponym	周	朝代
hyponym	越戰	戰爭
hyponym	紅樹林	森林
hypernym	爺	關係
synonym	以致於	致
antonym	那裡	這裏
antonym	龍	鳳
hypernym	現況	狀態
antonym	地方	中央
nearsynonym	天秤座	天蠍座
antonym	不能	容許
synonym	顯示	顯示出
synonym	譬如說	比如
antonym	提早	推
hyponym	贊助	幫
hypernym	物理	性質
hyponym	叉子	器具
hyponym	心酸	悲傷
hyponym	帽	服飾
antonym	不能	能
hypernym	梁	橋
synonym	譬如說	例如說
hyponym	梅樹	樹
antonym	婆	爺爺
hyponym	白	顏色
antonym	捷	輸
antonym	外面	裡面
hypernym	法	國家
synonym	變為	轉變成
synonym	大多數	大部分
hyponym	研究	活動
synonym	點兒	一點點
hyponym	河南	省
antonym	利益	害
hyponym	哀思	悲傷
antonym	開	關門
antonym	不及	來得及
hyponym	珊瑚	水中生物
hyponym	滾	帶
hypernym	目前	時間
synonym	來自於	源於
synonym	致	以至於
hyponym	茶	植物
synonym	轉變成	轉變為
hypernym	加油	勉
nearsynonym	雙魚座	金牛座
nearsynonym	天蠍座	雙子座
nearsynonym	宋	秦
holonym	初	時間
hypernym	哀傷	悲傷
antonym	之后	前面
synonym	臺南	台南
hyponym	聽任	任由
hyponym	地球	天體
synonym	引得	引起
holonym	下屬	組織
hypernym	名將	將軍
hypernym	逢甲	組織
hyponym	寒帶	區域
hypernym	朝代	時代
synonym	除此之外	之餘
nearsynonym	天秤座	牡羊座
hyponym	少爺	人
antonym	開口	閉
antonym	高	矮
antonym	正式	非正式
antonym	後來	前
hyponym	大陸人	人類
meronym	開始	時間
hypernym	寸	單位
antonym	單單	不祇
hypernym	長榮	組織
hypernym	巴西	國家
hyponym	蔣	名稱
hyponym	氣體	物質
nearsynonym	咸	豐
hypernym	節	單位
hypernym	歇	休
synonym	嘴脣	嘴唇
meronym	期末	時間
hypernym	確保	保
hypernym	湯匙	器具
hypernym	協助	幫
nearsynonym	龍	兔
synonym	石化燃料	化石燃料
hypernym	宅	屋子
hypernym	領取	拿
nearsynonym	晚間	晨間
synonym	不光	不單單
antonym	升	降低
synonym	研究所	研究院
hyponym	禮拜	朝拜
antonym	提早	延
synonym	急忙	急急忙忙
hypernym	好兄弟	關係
hypernym	湖	水域
antonym	以下	以上
hypernym	音	聲音
hyponym	簡稱	稱呼
hyponym	梅	名稱
antonym	啟	關
hypernym	權	名稱
hyponym	西北	區域
synonym	發出	釋放
hyponym	魯	名稱
antonym	久	暫
nearsynonym	午	晚
synonym	一塊兒	一同
hyponym	房屋	建築物
hyponym	紐約	行政區
hypernym	苦澀	悲傷
hypernym	冊	單位
hypernym	宅	房舍
nearsynonym	書	棋
hypernym	加油	勵
antonym	老	嫩
hyponym	東西	評價
nearsynonym	商	唐
nearsynonym	哥哥	妹妹
synonym	捨不得	不捨
hypernym	人類	動物
hypernym	肇始	啟
hyponym	女孩	人類
hyponym	黃	顏色
hypernym	東方	方向
synonym	轉化為	轉成
hyponym	氣憤	生氣
